Date,max-temp,min-temp,humidity,pressure,precipitation,tot
01-01-2021,28,19,0,1015.875,0,0
02-01-2021,28,19,3.25,1015,0,0
03-01-2021,30,18,0.875,1014.125,0,0
04-01-2021,29,19,11.625,1014.5,0,0
05-01-2021,33,24,0,1014,0,0
06-01-2021,32,22,5.625,1012.25,0,0
07-01-2021,33,23,5.75,1011.125,0,0
08-01-2021,31,23,7.25,1011.5,0,0
09-01-2021,31,22,9.875,1012.125,0,0
10-01-2021,32,23,9.875,1011.75,0,0
11-01-2021,32,24,14.875,1011.625,0,0
12-01-2021,29,21,12.25,1012.625,0,0
13-01-2021,28,18,2.5,1012.25,0,0
14-01-2021,28,19,0,1012.75,0,0
15-01-2021,29,20,0,1011.75,0,0
16-01-2021,28,20,0,1011.375,0,0
17-01-2021,30,20,0,1013.5,0,0
18-01-2021,30,21,0,1014.125,0,0
19-01-2021,29,19,2.875,1011.5,0,0
20-01-2021,30,20,7.75,1010.625,0,0
21-01-2021,29,20,2,1011.625,0,0
22-01-2021,27,18,0,1012.625,0,0
23-01-2021,30,20,0,1011.875,0,0
24-01-2021,33,21,0.25,1013.25,0,0
25-01-2021,32,20,7.5,1013.75,0,0
26-01-2021,30,20,2.375,1013.875,0,0
27-01-2021,30,19,2.25,1014.125,0,0
28-01-2021,29,18,0,1015.375,0,0
29-01-2021,29,19,6.75,1014.5,0,0
30-01-2021,28,17,13.5,1014.25,0,0
31-01-2021,28,16,0,1015.875,0,0
01-02-2021,27,17,0,1017,0,0
02-02-2021,28,17,0,1016.75,0,0
03-02-2021,29,17,0,1015.875,0,0
04-02-2021,29,18,2,1015.625,0,0
05-02-2021,32,20,0,1013.875,0,0
06-02-2021,32,19,3.75,1013,0,0
07-02-2021,28,16,35.875,1014.5,0.0375,0.3
08-02-2021,30,19,0,1014.875,0,0
09-02-2021,32,19,0,1013.5,0,0
10-02-2021,32,20,0.75,1012.125,0,0
11-02-2021,33,18,2.875,1011.75,0,0
12-02-2021,33,21,0.25,1012.375,0,0
13-02-2021,34,22,0.25,1012.875,0,0
14-02-2021,33,22,0.375,1012.5,0,0
15-02-2021,34,22,2,1011.25,0,0
16-02-2021,35,21,2.125,1011.625,0,0
17-02-2021,34,21,4.75,1012.75,0,0
18-02-2021,33,22,14.875,1014.5,0,0
19-02-2021,32,21,37.375,1015.875,0,0
20-02-2021,32,21,16.125,1015.5,0,0
21-02-2021,34,21,3.25,1014.375,0,0
22-02-2021,36,22,0,1012.375,0,0
23-02-2021,36,23,0,1010.375,0,0
24-02-2021,36,22,0,1009.375,0,0
25-02-2021,37,23,0.375,1007.625,0,0
26-02-2021,38,23,0.375,1005.375,0,0
27-02-2021,38,25,0,1006.375,0,0
28-02-2021,38,22,3,1007.75,0,0
01-03-2021,37,23,4.875,1010.375,0,0
02-03-2021,37,23,4.75,1010.875,0,0
03-03-2021,37,22,3.375,1010.875,0,0
04-03-2021,37,23,0,1010.875,0,0
05-03-2021,36,23,0,1009.875,0,0
06-03-2021,37,22,0.25,1010.125,0,0
07-03-2021,36,25,1.375,1010.375,0,0
08-03-2021,36,24,0.375,1011.125,0,0
09-03-2021,37,24,0.375,1010.875,0,0
10-03-2021,38,23,1.5,1010.75,0,0
11-03-2021,38,24,2.875,1012.25,0,0
12-03-2021,38,23,6.375,1012.875,0,0
13-03-2021,37,23,9.75,1012.5,0,0
14-03-2021,37,23,6.25,1009.875,0,0
15-03-2021,37,23,2,1009.25,0,0
16-03-2021,39,24,0.875,1009,0,0
17-03-2021,39,24,1.75,1008.625,0,0
18-03-2021,39,26,1.75,1009.25,0,0
19-03-2021,39,23,10.375,1007.625,0,0
20-03-2021,39,27,3.375,1006.875,0,0
21-03-2021,40,25,5.875,1007,0,0
22-03-2021,40,25,3.625,1009,0,0
23-03-2021,41,26,3.125,1009.625,0,0
24-03-2021,41,26,3.375,1007.875,0,0
25-03-2021,40,26,13.625,1007.75,0,0
26-03-2021,42,26,1.75,1007.125,0,0
27-03-2021,40,26,1.25,1006.125,0,0
28-03-2021,40,25,2,1004.625,0,0
29-03-2021,39,27,3.125,1003.75,0,0
30-03-2021,42,26,6.375,999,0,0
31-03-2021,44,27,0.375,997,0,0
01-04-2021,42,27,1.625,998.875,0,0
02-04-2021,41,26,16.25,1001.75,0,0
03-04-2021,37,26,43.5,1005.125,0.275,2.2
04-04-2021,37,24,39.375,1006.125,3.0625,24.5
05-04-2021,37,17,19.875,1007.875,0.0625,0.5
06-04-2021,39,26,0.375,1008,0,0
07-04-2021,37,26,0,1007.875,0,0
08-04-2021,36,26,0.625,1006,0,0
09-04-2021,36,26,4.375,1006.5,0,0
10-04-2021,37,26,12.75,1008.25,0,0
11-04-2021,39,27,2.125,1009,0,0
12-04-2021,38,27,45.875,1009.25,0.55,4.4
13-04-2021,39,27,7.75,1008.875,0,0
14-04-2021,40,27,1.75,1007.25,0,0
15-04-2021,38,27,30.5,1006,0,0
16-04-2021,40,29,39.375,1006.125,0.025,0.2
17-04-2021,39,26,28.375,1007.375,0.98,4.9
18-04-2021,37,27,16.125,1006.375,1.05,8.4
19-04-2021,42,28,1.5,1004.625,0,0
20-04-2021,39,27,9.5,1004.375,0,0
21-04-2021,39,28,4.125,1005.5,0,0
22-04-2021,40,27,30.875,1006.375,0.5625,4.5
23-04-2021,41,27,20.25,1006.125,0,0
24-04-2021,44,28,1.625,1005.625,0,0
25-04-2021,42,28,3.375,1005.125,0,0
26-04-2021,40,28,24.875,1005.5,0,0
27-04-2021,39,27,5.75,1005.25,0,0
28-04-2021,38,27,1.5,1006.625,0,0
29-04-2021,37,29,23,1006.875,0,0
30-04-2021,39,28,26.375,1006,0,0
01-05-2021,37,27,19.38,1007.125,0.05,0.4
02-05-2021,37,28,17,1006.625,0.0125,0.1
03-05-2021,37,28,13.5,1004.625,0,0
04-05-2021,36,21,65.13,1006,1.2875,10.3
05-05-2021,35,19,62.75,1006.75,8.25,66
06-05-2021,35,22,16.88,1008.125,1.075,8.6
07-05-2021,37,28,51.375,1008.875,4.3125,34.5
08-05-2021,35,22,48,1007.375,2.4,19.2
09-05-2021,38,27,19.75,1006.125,0.175,1.4
10-05-2021,38,26,36.625,1003.875,3.2875,26.3
11-05-2021,38,28,24.25,1002.5,4.2,33.6
12-05-2021,34,20,34.625,1004.125,0.0625,0.5
13-05-2021,34,19,50.875,1002.75,8.2,65.6
14-05-2021,36,27,40.875,1002.25,3.5625,28.5
15-05-2021,37,23,20.5,1003.25,0.1125,0.9
16-05-2021,37,28,13.375,1004.125,0.525,4.2
17-05-2021,39,29,9.125,1003.75,0,0
18-05-2021,41,30,9.125,1001.875,0,0
19-05-2021,41,29,32.875,1001.625,0.275,2.2
20-05-2021,38,26,25.875,1002.625,0.7625,6.1
21-05-2021,39,30,46.375,1002.625,1.625,13
22-05-2021,39,30,35.5,1001,0.125,1
23-05-2021,40,31,45.625,999.375,0.175,1.4
24-05-2021,37,30,44.375,999.625,0.2875,2.3
25-05-2021,30,23,80.125,997.125,5.1875,41.5
26-05-2021,30,27,87,994.875,0.5625,4.5
27-05-2021,32,28,81.125,997.75,2.7875,22.3
28-05-2021,36,28,72.125,1002.75,1.1,8.8
29-05-2021,36,29,23,1004,0,0
30-05-2021,34,29,39.625,1003.625,0.025,0.2
31-05-2021,33,29,66.5,1002,2.4,19.2
01-06-2021,36,29,61.75,1002.5,12.988,103.9
02-06-2021,35,27,51.875,1003.375,4.8875,39.1
03-06-2021,37,27,26.375,1005.25,0.725,5.8
04-06-2021,37,29,25.625,1004.375,0.15,1.2
05-06-2021,39,29,22.5,1002.75,0,0
06-06-2021,41,30,30,1001.375,0.3875,3.1
07-06-2021,41,32,25.875,999.75,0,0
08-06-2021,40,30,21.5,998.875,0,0
09-06-2021,39,31,27.5,998.875,0.0125,0.1
10-06-2021,35,30,59.375,998.125,1.2125,9.7
11-06-2021,34,29,60.25,997.125,0.3625,2.9
12-06-2021,32,27,76,997.625,1.1875,9.5
13-06-2021,33,27,86.625,997.625,0.3,2.4
14-06-2021,34,28,68.625,995.75,0.925,7.4
15-06-2021,33,28,66.625,992,0.2625,2.1
16-06-2021,26,21,94.625,994,8.075,64.6
17-06-2021,27,24,75.625,998.25,2.1125,16.9
18-06-2021,31,26,66.625,998.375,1.6375,13.1
19-06-2021,29,27,72.625,998.75,3.775,30.2
20-06-2021,30,27,67.875,1000,0.9875,7.9
21-06-2021,33,28,72.25,1000.625,1.2875,10.3
22-06-2021,35,29,65.5,1001.75,0.9,7.2
23-06-2021,35,29,42.5,1003,0.05,0.4
24-06-2021,35,28,45.875,1001.75,0.05,0.4
25-06-2021,34,29,42,1000.125,0.075,0.6
26-06-2021,34,28,55.375,1001.25,0.1375,1.1
27-06-2021,34,28,59.75,1003.875,0.0375,0.3
28-06-2021,33,28,60,1004.5,0.0125,0.1
29-06-2021,34,26,54.625,1002.625,0.65,5.2
30-06-2021,32,24,79.25,1000.75,2.575,20.6
01-07-2021,31,26,87.25,1000,2.03,16.3
02-07-2021,34,29,50.75,1001,0.26,2.1
03-07-2021,34,28,52.88,1002,0.26,2.5
04-07-2021,35,28,61,1003,0.6,4.8
05-07-2021,25,19,56.75,1015,0.06,0.4
06-07-2021,35,29,46.25,1001,0.21,1.7
07-07-2021,33,29,50.75,1001,0.25,2
08-07-2021,31,28,73.38,1002,0.85,6.8
09-07-2021,32,27,68.13,1000,1.35,10.8
10-07-2021,33,28,52.5,1001,0.05,0.4
11-07-2021,33,28,59.25,1003,0.06,0.5
12-07-2021,34,28,51.75,1003,0.07,0.6
13-07-2021,33,28,74.12,1003,0.3,2.9
14-07-2021,33,28,76.5,1004,0.3,2
15-07-2021,34,28,62.12,1004,0.5,4.4
16-07-2021,34,29,40.75,1005,0.1,0.9
17-07-2021,35,29,53,1004,0.01,0.1
18-07-2021,31,27,77.12,1002,2.9,31.9
19-07-2021,35,29,52.5,1001,0.07,0.6
20-07-2021,35,29,61,999,0.05,0.5
21-07-2021,34,28,61,997.125,0.075,0.6
22-07-2021,32,28,64,995.625,0.2875,2.3
23-07-2021,32,27,69,995.5,1.225,9.8
24-07-2021,34,24,66,998.25,1.525,12.2
25-07-2021,34,29,66,998.75,2.55,20.4
26-07-2021,35,29,67,997.75,0.1375,1.1
27-07-2021,33,29,53,997.375,1.675,13.4
28-07-2021,33,28,74,997,0.0125,25.8
29-07-2021,26,25,100,995.125,21.975,175.8
30-07-2021,33,27,82.75,999,0.375,3
31-07-2021,33,26,65.25,1001.375,0.05,0.4
01-08-2021,33,28,60.75,1000,0.26,2.08
02-08-2021,34,28,69.25,1000.63,0.91,7.28
03-08-2021,33,29,71.88,1000.63,1.43,11.44
04-08-2021,29,27,77.25,1001.63,2.51,20.08
05-08-2021,32,26,77,1000.88,2.7,21.6
06-08-2021,34,28,66.38,999.5,0.48,3.84
07-08-2021,35,29,68.25,1000.38,0.8,6.4
08-08-2021,35,28,63.25,1003,1.04,8.32
09-08-2021,35,29,51.5,1003.13,1.08,8.64
10-08-2021,35,29,39.88,1001.25,0.1,0.8
11-08-2021,35,30,69.75,1001.25,0.2375,1.9
12-08-2021,35,29,40.635,1003.375,0,0
13-08-2021,33,28,67.375,1002.75,1.5,12
14-08-2021,34,28,58.125,1001.25,0.3625,2.9
15-08-2021,33,28,80.875,1001.625,2.9375,23.5
16-08-2021,33,28,75.875,1004,0.6,4.8
17-08-2021,31,27,81.875,1003.875,2.05,16.4
18-08-2021,29,21,72.75,1003.25,2.625,21
19-08-2021,27,25,78.25,1004.75,11.1,88.8
20-08-2021,29,26,81.25,1006.25,2.8,22.4
21-08-2021,29,27,60.125,1008.25,0.9,7.2
22-08-2021,33,27,52.75,1007,0.0125,0.1
23-08-2021,34,28,58.75,1004.125,0.3375,2.7
24-08-2021,35,29,57.25,1002.875,0.05,0.4
25-08-2021,31,28,70.5,1001.625,0.9625,7.7
26-08-2021,35,28,62.625,1000.5,0.6875,5.5
27-08-2021,32,27,66.125,1001.375,0.95,7.6
28-08-2021,33,27,54,1001.75,0.2125,1.7
29-08-2021,31,26,66.875,1002.25,0.3125,2.5
30-08-2021,33,25,79.375,1004.625,0.475,3.8
31-08-2021,33,27,58,1006.625,0.35,2.8
01-09-2021,33,27,37.75,1006.75,0.0125,0.1
02-09-2021,34,27,46,1005,0.075,0.6
03-09-2021,35,27,63.625,1003.625,0.375,3
04-09-2021,36,27,28.75,1002.25,0,0
05-09-2021,34,27,63.125,1002.125,0.1375,1.1
06-09-2021,30,27,83.5,1002.5,0.2625,2.1
07-09-2021,30,27,69,1005.75,0.725,5.8
08-09-2021,28,26,78.75,1006.5,0.4,3.2
09-09-2021,33,26,63.375,1004,0.1,0.8
10-09-2021,34,26,47.75,1003.5,0.26,1.3
11-09-2021,34,27,47.75,1002.75,0.0625,0.5
12-09-2021,34,27,43.875,1000,0.2625,2.1
13-09-2021,31,26,85.625,1000.125,0.1125,0.9
14-09-2021,28,26,69.375,1003.625,0.8625,6.9
15-09-2021,28,25,65.25,1006.25,0.9375,7.5
16-09-2021,33,25,51.625,1005.125,0.3,2.4
17-09-2021,33,26,38.125,1003.75,0.2,1.6
18-09-2021,33,27,66.25,1004.625,0.0875,0.7
19-09-2021,32,26,68.5,1006.125,0.6125,4.9
20-09-2021,30,25,57.625,1006.625,0.55,4.4
21-09-2021,31,25,51.75,1004.75,0.5125,4.1
22-09-2021,26,25,67.125,1004.125,0.4875,3.9
23-09-2021,29,25,58,1005.75,0.975,7.8
24-09-2021,33,26,30.75,1006.875,0,0
25-09-2021,34,26,45.375,1005.75,0.15,1.2
26-09-2021,34,26,65.5,1004.25,0.2375,1.9
27-09-2021,31,26,47.25,1005.375,0.1875,1.5
28-09-2021,28,25,61.25,1005.875,0.025,0.2
29-09-2021,25,24,94.625,1007.25,1.725,13.8
30-09-2021,29,24,68.25,1008.5,0.4,3.2
01-10-2021,32,26,44,1007.875,0.2,1.6
02-10-2021,32,26,40.375,1007.375,0.125,1
03-10-2021,32,26,53.5,1006,0.25,2
04-10-2021,35,26,36.25,1006,0.1125,0.9
05-10-2021,34,26,51.75,1007.25,0.125,1
06-10-2021,34,26,45.125,1006.5,0.15,1.2
